,女性_推定平均必要量,女性_推奨量,女性_月経あり_推定平均必要量,女性_月経あり_推奨量,女性_月経なし_推定平均必要量,女性_月経なし_推奨量,女性_目安量,女性_目標量-下限,女性_目標量-上限,女性_耐容上限量,女性_耐容上限量-ニコチンアミド,女性_耐容上限量-ニコチン酸,女性_身体活動レベルⅠ,女性_身体活動レベルⅡ,女性_身体活動レベルⅢ,男性_推定平均必要量,男性_推奨量,男性_目安量,男性_目標量-下限,男性_目標量-上限,男性_耐容上限量,男性_耐容上限量-ニコチンアミド,男性_耐容上限量-ニコチン酸,男性_身体活動レベルⅠ,男性_身体活動レベルⅡ,男性_身体活動レベルⅢ
エネルギー_推定エネルギー必要量_kcal,,,,,,,,,,,,,1500.0,1700.0,1900.0,,,,,,,,,1600.0,1850.0,2100.0
たんぱく質_たんぱく質_g／日（目標量は%エネルギー）,30.0,40.0,,,,,,13.0,20.0,,,,,,,30.0,40.0,,13.0,20.0,,,,,,
脂質_脂質_％エネルギー,,,,,,,,20.0,30.0,,,,,,,,,,20.0,30.0,,,,,,
脂質_飽和脂肪酸_％エネルギー,,,,,,,,,10.0,,,,,,,,,,,10.0,,,,,,
脂質_n─6系脂肪酸_g／日,,,,,,,7.0,,,,,,,,,,,8.0,,,,,,,,
脂質_n─3系脂肪酸_g／日,,,,,,,1.3,,,,,,,,,,,1.5,,,,,,,,
炭水化物_炭水化物_％エネルギー,,,,,,,,50.0,65.0,,,,,,,,,,50.0,65.0,,,,,,
炭水化物_食物繊維_g／日,,,,,,,,11.0,,,,,,,,,,,11.0,,,,,,,
ビタミン（脂溶性ビタミン）_ビタミンA_μgRAE／日,350.0,500.0,,,,,,,,1500.0,,,,,,350.0,500.0,,,,1200.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンD_μg／日,,,,,,,6.0,,,40.0,,,,,,,,5.0,,,40.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンE_mg／日,,,,,,,5.0,,,350.0,,,,,,,,5.0,,,350.0,,,,,
ビタミン（脂溶性ビタミン）_ビタミンK_μg／日,,,,,,,110.0,,,,,,,,,,,90.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンB1_mg／日,0.8,0.9,,,,,,,,,,,,,,0.8,1.0,,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンB2_mg／日,0.9,1.0,,,,,,,,,,,,,,0.9,1.1,,,,,,,,,
ビタミン（水溶性ビタミン）_ナイアシン_mgNE／日,8.0,10.0,,,,,,,,,150.0,35.0,,,,9.0,11.0,,,,,150.0,35.0,,,
ビタミン（水溶性ビタミン）_ビタミンB6_mg／日,0.8,0.9,,,,,,,,25.0,,,,,,0.8,0.9,,,,25.0,,,,,
ビタミン（水溶性ビタミン）_ビタミンB12_μg／日,1.3,1.6,,,,,,,,,,,,,,1.3,1.6,,,,,,,,,
ビタミン（水溶性ビタミン）_葉酸_μg／日,130.0,160.0,,,,,,,,500.0,,,,,,130.0,160.0,,,,500.0,,,,,
ビタミン（水溶性ビタミン）_パントテン酸_mg／日,,,,,,,5.0,,,,,,,,,,,6.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビオチン_μg／日,,,,,,,30.0,,,,,,,,,,,30.0,,,,,,,,
ビタミン（水溶性ビタミン）_ビタミンC_mg／日,60.0,70.0,,,,,,,,,,,,,,60.0,70.0,,,,,,,,,
ミネラル（多量ミネラル）_ナトリウム_μg／日,,,,,,,,,2000.0,,,,,,,,,,,2000.0,,,,,,
ミネラル（多量ミネラル）_食塩相当量_g／日,,,,,,,,,5.0,,,,,,,,,,,5.0,,,,,,
ミネラル（多量ミネラル）_カリウム_mg／日,,,,,,,1500.0,2000.0,,,,,,,,,,1500.0,2000.0,,,,,,,
ミネラル（多量ミネラル）_カルシウム_mg／日,600.0,750.0,,,,,,,,,,,,,,550.0,650.0,,,,,,,,,
ミネラル（多量ミネラル）_マグネシウム_mg／日,140.0,160.0,,,,,,,,,,,,,,140.0,170.0,,,,,,,,,
ミネラル（多量ミネラル）_リン_mg／日,,,,,,,1000.0,,,,,,,,,,,1000.0,,,,,,,,
ミネラル（微量ミネラル）_鉄_mg／日,,,,,6.0,7.5,,,,35.0,,,,,,6.0,7.0,,,,35.0,,,,,
ミネラル（微量ミネラル）_亜鉛_mg／日,4.0,5.0,,,,,,,,,,,,,,5.0,6.0,,,,,,,,,
ミネラル（微量ミネラル）_銅_mg／日,0.4,0.5,,,,,,,,,,,,,,0.4,0.5,,,,,,,,,
ミネラル（微量ミネラル）_マンガン_mg／日,,,,,,,2.5,,,,,,,,,,,2.5,,,,,,,,
ミネラル（微量ミネラル）_ヨウ素_μg／日,65.0,90.0,,,,,,,,700.0,,,,,,65.0,90.0,,,,700.0,,,,,
ミネラル（微量ミネラル）_セレン_μg／日,15.0,20.0,,,,,,,,200.0,,,,,,15.0,20.0,,,,200.0,,,,,
ミネラル（微量ミネラル）_クロム_μg／日,,,,,,,,,,,,,,,,,,,,,,,,,,
ミネラル（微量ミネラル）_モリブデン_μg／日,15.0,15.0,,,,,,,,,,,,,,15.0,20.0,,,,,,,,,
